体裁,文件,汉字数,语义句数,章CV,平均σ,平均MSSD,的密度_%,重复骨架簇,重复句占比,排比簇,信息停滞段数,词性堆叠行数,模板命中,破折号每千字,对话标签占比,三四句段占比
新闻,news1_taifeng.md,1001,127,0.808,40.11,53.56,0.258,7,0.189,1,0,15,0,4.31,0.0,0.4286
新闻,news2_qiantan.md,1133,102,0.4967,21.28,31.25,1.588,0,0.0,0,0,10,0,0.0,0.0,0.5
新闻,news3_photo_rule.md,722,84,0.439,15.64,17.5,2.156,0,0.0,0,0,7,2,0.0,0.0,0.0909
新闻,news4_cyberweek.md,704,62,0.6632,15.12,18.12,0.866,1,0.0323,0,0,7,0,1.24,0.0,0.2
新闻,news5_suanli.md,1204,118,0.6665,34.5,47.94,0.505,0,0.0,0,0,20,0,0.0,0.0,0.3333
知乎,zhihu1_vegetable.md,4500,477,0.5663,6.59,9.81,3.226,2,0.0147,0,0,33,0,0.0,0,0.0992
知乎,zhihu2_datacenter.md,1934,167,0.5834,10.3,13.5,2.954,0,0.0,0,0,5,0,0.81,0.0,0.069
知乎,zhihu3_ant.md,1092,122,0.4653,0,0,3.561,1,0.0164,0,0,2,0,0.76,0.0,0.0
知乎,zhihu4_wheel.md,1942,215,0.6192,5.32,10.67,2.597,1,0.0093,0,2,12,0,0.0,0,0.0098
知乎,zhihu5_odyssey.md,5379,520,0.505,6.65,8.5,3.748,2,0.0115,0,1,16,7,0.0,0.0,0.0037
学术,a1_genai_marketing.md,7533,705,0.5992,12.35,25.75,2.767,12,0.0482,0,13,49,12,0.0,0.0,0.0085
学术,a2_bbnj_law.md,6028,535,0.5647,4.11,7.0,2.223,2,0.0112,0,25,57,6,0.0,0.0714,0.0053
学术,a3_linguistics.md,7619,898,0.6915,10.57,20.0,1.846,10,0.0312,0,14,36,5,0.0,0.0,0.0062
学术,a4_ahp.md,3686,408,0.5769,7.93,14.75,1.494,8,0.049,0,5,36,0,0.0,0.0,0.0144
学术,a5_subtitle.md,5740,604,0.6789,10.77,21.0,3.235,5,0.0381,0,11,39,10,0.0,0.1364,0.0097
